Catalogue	Full Name	Alternatives	Species	Sample Type	Detection Range	Sensitivity	Experimental Method	Size	Marketing Price（USD）	Size	Marketing Price(USD)	Shelf Life	Gene ID	UniProtKB	Product Link
RDR-PCIII-Hu	Human Procollagen III (PCIII) ELISA Kit	PCOL-III,PC-III,PC3,Type III Procollagen  	Homo sapiens human  	serum, plasma, tissue homogenates and other biological fluids.  	0.156-10ng/mL  	0.063ng/mL  	sandwich  	96T  	679.04	48T  	475.34	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/8814/Human_Procollagen_III_PCIII_ELISA_Kit/
RD-Salusina-Hu	Human Salusin Alpha ELISA Kit	  	Homo sapiens human  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	15.625-1000pg/mL  	4.47pg/mL  	competitive inhibition  	96T  	617.5	48T  	432.3	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/6193/Human_Salusin_Alpha_ELISA_Kit/
RDR-Salusina-Hu	Human Salusin Alpha ELISA Kit	  	Homo sapiens human  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	15.625-1000pg/mL  	4.47pg/mL  	competitive inhibition  	96T  	648.3	48T  	453.9	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/13439/Human_Salusin_Alpha_ELISA_Kit/
RD-aFP-Si	Monkey Alpha-Fetoprotein (aFP) ELISA Kit	A-FP,FETA,HPAFP,Alpha-Fetoglobulin,Alpha-1-fetoprotein  	Rhesus monkey Simian  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	1.56-100ng/mL  	1.2ng/mL  	sandwich  	96T  	738.3	48T  	516.8	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/974/Monkey_Alpha_Fetoprotein_aFP_ELISA_Kit/
RDR-aFP-Si	Monkey Alpha-Fetoprotein (aFP) ELISA Kit	A-FP,FETA,HPAFP,Alpha-Fetoglobulin,Alpha-1-fetoprotein  	Rhesus monkey Simian  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	1.56-100ng/mL  	1.2ng/mL  	sandwich  	96T  	775.22	48T  	542.64	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/8454/Monkey_Alpha_Fetoprotein_aFP_ELISA_Kit/
RD-FSH-Si	Monkey Follicle Stimulating Hormone (FSH) ELISA Kit	  	Rhesus monkey Simian  	serum, plasma and other biological fluids.  	3.125-200ng/mL  	1.22ng/mL  	competitive inhibition  	96T  	738.3	48T  	516.8	12 months  	  	  	https://www.reddotbiotech.ca/elisa_kits/product/2782/Monkey_Follicle_Stimulating_Hormone_FSH_ELISA_Kit/
RDR-FSH-Si	Monkey Follicle Stimulating Hormone (FSH) ELISA Kit	  	Rhesus monkey Simian  	serum, plasma and other biological fluids.  	3.12-200ng/mL  	1.22ng/mL  	competitive inhibition  	96T  	775.22	48T  	542.64	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/8447/Monkey_Follicle_Stimulating_Hormone_FSH_ELISA_Kit/
RD-GLb-Si	Monkey Galactosidase Beta (GLb) ELISA Kit	GL-B,b-GAL,bGAL,ELNR1,EBP,GLB1,Lactase,Elastin Receptor 1,67kDa,Elastin Receptor 1(67kD),Acid Beta-Galactosidase  	Rhesus monkey Simian  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	3.125-200U/L  	1.54U/L  	sandwich  	96T  	738.3	48T  	516.8	12 months  	  	  	https://www.reddotbiotech.ca/elisa_kits/product/2971/Monkey_Galactosidase_Beta_GLb_ELISA_Kit/
RDR-GLb-Si	Monkey Galactosidase Beta (GLb) ELISA Kit	GL-B,b-GAL,bGAL,ELNR1,EBP,GLB1,Lactase,Elastin Receptor 1,67kDa,Elastin Receptor 1(67kD),Acid Beta-Galactosidase  	Rhesus monkey Simian  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	3.12-200U/L  	1.54U/L  	sandwich  	96T  	775.22	48T  	542.64	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/8446/Monkey_Galactosidase_Beta_GLb_ELISA_Kit/
RD-GAL14-Si	Monkey Galectin 14 (GAL14) ELISA Kit	LGALS14,CLC2,PPL13,Placental Protein 13-Like,Lectin,Galactoside-Binding Soluble 14,Charcot-Leyden crystal protein 2  	Rhesus monkey Simian  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	0.156-10ng/mL  	0.048ng/mL  	sandwich  	96T  	738.3	48T  	516.8	12 months  	698227	  	https://www.reddotbiotech.ca/elisa_kits/product/2838/Monkey_Galectin_14_GAL14_ELISA_Kit/
RDR-GAL14-Si	Monkey Galectin 14 (GAL14) ELISA Kit	LGALS14,CLC2,PPL13,Placental Protein 13-Like,Lectin,Galactoside-Binding Soluble 14,Charcot-Leyden crystal protein 2  	Rhesus monkey Simian  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	0.156-10ng/mL  	0.048ng/mL  	sandwich  	96T  	775.22	48T  	542.64	12 months  	698227		https://www.reddotbiotech.ca/elisa_kits/product/8444/Monkey_Galectin_14_GAL14_ELISA_Kit/
RD-BK-Mu	Mouse Bradykinin (BK) ELISA Kit	  	Mus musculus mouse  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	31.2-2000pg/mL  	9.02pg/mL  	competitive inhibition  	96T  	603.3	48T  	422.3	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/13381/Mouse_Bradykinin_BK_ELISA_Kit/
RDR-BK-Mu	Mouse Bradykinin (BK) ELISA Kit	  	Mus musculus mouse  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	31.2-2000pg/mL  	9.02pg/mL  	competitive inhibition  	96T  	633.47	48T  	443.42	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/12309/Mouse_Bradykinin_BK_ELISA_Kit/
RD-D2D-Mu	Mouse D-Dimer (D2D) ELISA Kit	D 2 Dimer  	Mus musculus mouse  	plasma.  	78.125-5000ng/mL  	25.4ng/mL  	competitive inhibition  	96T  	543.3	48T  	380.3	12 months  	  	  	https://www.reddotbiotech.ca/elisa_kits/product/2220/Mouse_D_Dimer_D2D_ELISA_Kit/
RDR-D2D-Mu	Mouse D-Dimer (D2D) ELISA Kit	D 2 Dimer  	Mus musculus mouse  	plasma.  	78.1-5000ng/mL  	25.4ng/mL  	competitive inhibition  	96T  	570.47	48T  	399.32	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/11859/Mouse_D_Dimer_D2D_ELISA_Kit/
RD-LDH-Mu	Mouse Lactate Dehydrogenase (LDH) ELISA Kit	  	Mus musculus mouse  	serum, plasma, tissue homogenates and other biological fluids.  	0.156-10ng/mL  	0.057ng/mL  	sandwich  	96T  	633.3	48T  	443.3	12 months  	16828	P06151	https://www.reddotbiotech.ca/elisa_kits/product/3676/Mouse_Lactate_Dehydrogenase_LDH_ELISA_Kit/
RDR-LDH-Mu	Mouse Lactate Dehydrogenase (LDH) ELISA Kit	  	Mus musculus mouse  	serum, plasma, tissue homogenates and other biological fluids.  	0.156-10ng/mL  	0.057ng/mL  	sandwich  	96T  	664.97	48T  	465.47	12 months  	16828	P06151	https://www.reddotbiotech.ca/elisa_kits/product/12601/Mouse_Lactate_Dehydrogenase_LDH_ELISA_Kit/
RD-LN-Mu	Mouse Laminin (LN) ELISA Kit	LAM  	Mus musculus mouse  	serum, plasma and other biological fluids.  	0.781-50ng/mL  	0.29ng/mL  	sandwich  	96T  	543.3	48T  	380.3	12 months  		P02468	https://www.reddotbiotech.ca/elisa_kits/product/3758/Mouse_Laminin_LN_ELISA_Kit/
RDR-LN-Mu	Mouse Laminin (LN) ELISA Kit	LAM  	Mus musculus mouse  	serum, plasma and other biological fluids.  	0.781-50ng/mL  	0.29ng/mL  	sandwich  	96T  	570.47	48T  	399.32	12 months  		P02468	https://www.reddotbiotech.ca/elisa_kits/product/12052/Mouse_Laminin_LN_ELISA_Kit/
RD-VP-Mu	Mouse Preprovasopressin (VP) ELISA Kit	AVP-NPII,ARVP,AVP,Vasopressin-Neurophysin 2-Copeptin,Arginine-vasopressin,Neurophysin 2,Copeptin  	Mus musculus mouse  	serum, plasma, tissue homogenates and other biological fluids.  	15.625-1000pg/mL  	5.8pg/mL  	sandwich  	96T  	663.3	48T  	464.3	12 months  	11998	P35455	https://www.reddotbiotech.ca/elisa_kits/product/6104/Mouse_Preprovasopressin_VP_ELISA_Kit/
RDR-VP-Mu	Mouse Preprovasopressin (VP) ELISA Kit	AVP-NPII,ARVP,AVP,Vasopressin-Neurophysin 2-Copeptin,Arginine-vasopressin,Neurophysin 2,Copeptin  	Mus musculus mouse  	serum, plasma, tissue homogenates and other biological fluids.  	15.6-1000pg/mL  	5.8pg/mL  	sandwich  	96T  	696.47	48T  	487.52	12 months  	11998	P35455	https://www.reddotbiotech.ca/elisa_kits/product/12395/Mouse_Preprovasopressin_VP_ELISA_Kit/
RD-PCI-Mu	Mouse Procollagen I (PCI) ELISA Kit	PCOL-I,PC-I,PC1,Type I Procollagen  	Mus musculus mouse  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	0.625-40ng/mL  	0.224ng/mL  	sandwich  	96T  	603.3	48T  	422.3	12 months  	  	  	https://www.reddotbiotech.ca/elisa_kits/product/4619/Mouse_Procollagen_I_PCI_ELISA_Kit/
RDR-PCI-Mu	Mouse Procollagen I (PCI) ELISA Kit	PCOL-I,PC-I,PC1,Type I Procollagen  	Mus musculus mouse  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	0.625-40ng/mL  	0.224ng/mL  	sandwich  	96T  	633.47	48T  	443.42	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/11788/Mouse_Procollagen_I_PCI_ELISA_Kit/
RD-D2D-p	Porcine D-Dimer (D2D) ELISA Kit	D 2 Dimer  	Sus scrofa; Porcine Pig  	plasma.  	78.125-5000ng/mL  	22.5ng/mL  	competitive inhibition  	96T  	693.3	48T  	485.3	12 months  	  	  	https://www.reddotbiotech.ca/elisa_kits/product/2221/Porcine_D_Dimer_D2D_ELISA_Kit/
RDR-D2D-p	Porcine D-Dimer (D2D) ELISA Kit	D 2 Dimer  	Sus scrofa; Porcine Pig  	plasma.  	78.1-5000ng/mL  	22.5ng/mL  	competitive inhibition  	96T  	727.97	48T  	509.57	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/13044/Porcine_D_Dimer_D2D_ELISA_Kit/
RD-BK-Rb	Rabbit Bradykinin (BK) ELISA Kit	  	Oryctolagus cuniculus Rabbit  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	0.156-10ng/mL  	0.05ng/mL  	competitive inhibition  	96T  	633.3	48T  	443.3	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/13382/Rabbit_Bradykinin_BK_ELISA_Kit/
RDR-BK-Rb	Rabbit Bradykinin (BK) ELISA Kit	  	Oryctolagus cuniculus Rabbit  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	0.156-10ng/mL  	0.05ng/mL  	competitive inhibition  	96T  	664.97	48T  	465.47	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/11699/Rabbit_Bradykinin_BK_ELISA_Kit/
RD-D2D-Rb	Rabbit D-Dimer (D2D) ELISA Kit	D 2 Dimer  	Oryctolagus cuniculus Rabbit  	plasma.  	3.125-200ng/mL  	1.27ng/mL  	competitive inhibition  	96T  	633.3	48T  	443.3	12 months  	  	  	https://www.reddotbiotech.ca/elisa_kits/product/2223/Rabbit_D_Dimer_D2D_ELISA_Kit/
RDR-D2D-Rb	Rabbit D-Dimer (D2D) ELISA Kit	D 2 Dimer  	Oryctolagus cuniculus Rabbit  	plasma.  	3.12-200ng/mL  	1.27ng/mL  	competitive inhibition  	96T  	664.97	48T  	465.47	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/11683/Rabbit_D_Dimer_D2D_ELISA_Kit/
RD-BK-Ra	Rat Bradykinin (BK) ELISA Kit	  	Rattus norvegicus  Rat  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	31.25-2000pg/mL  	8.53pg/mL    	Competitive inhibition  	96T  	633.3	48T  	443.3	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/6630/Rat_Bradykinin_BK_ELISA_Kit/
RDR-BK-Ra	Rat Bradykinin (BK) ELISA Kit	  	Rattus norvegicus Rat  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	31.2-2000pg/mL  	8.53pg/mL  	competitive inhibition  	96T  	664.97	48T  	465.47	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/7844/Rat_Bradykinin_BK_ELISA_Kit/
RD-CYP2C19-Ra	Rat Cytochrome P450 2C19 (CYP2C19) ELISA Kit	CPCJ,CYP2C,CYPIIC17,CYPIIC19,P450C2C,Cytochrome P450-11A,Cytochrome P450-254C,Mephenytoin 4-hydroxylase,limonene 6-monooxygenase  	Rattus norvegicus Rat  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	0.781-50ng/mL  	0.29ng/mL  	sandwich  	96T  	760	48T  	532	12 months  	  	  	https://www.reddotbiotech.ca/elisa_kits/product/2196/Rat_Cytochrome_P450_2C19_CYP2C19_ELISA_Kit/
RDR-CYP2C19-Ra	Rat Cytochrome P450 2C19 (CYP2C19) ELISA Kit	CPCJ,CYP2C,CYPIIC17,CYPIIC19,P450C2C,Cytochrome P450-11A,Cytochrome P450-254C,Mephenytoin 4-hydroxylase,limonene 6-monooxygenase  	Rattus norvegicus Rat  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	0.781-50ng/mL  	0.29ng/mL  	sandwich  	96T  	798	48T  	558.6	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/8229/Rat_Cytochrome_P450_2C19_CYP2C19_ELISA_Kit/
RD-D2D-Ra	Rat D-Dimer (D2D) ELISA Kit	D 2 Dimer  	Rattus norvegicus Rat  	plasma.  	78.125-5000ng/mL  	25.2ng/mL  	competitive inhibition  	96T  	633.3	48T  	443.3	12 months  	  	  	https://www.reddotbiotech.ca/elisa_kits/product/2222/Rat_D_Dimer_D2D_ELISA_Kit/
RDR-D2D-Ra	Rat D-Dimer (D2D) ELISA Kit	D 2 Dimer  	Rattus norvegicus Rat  	plasma.  	78.1-5000ng/mL  	25.2ng/mL  	competitive inhibition  	96T  	664.97	48T  	465.47	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/7492/Rat_D_Dimer_D2D_ELISA_Kit/
RD-PCI-Ra	Rat Procollagen I (PCI) ELISA Kit	PCOL-I,PC-I,PC1,Type I Procollagen  	Rattus norvegicus Rat  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	0.781-50ng/mL  	0.36ng/mL  	sandwich  	96T  	633.3	48T  	443.3	12 months  	  	  	https://www.reddotbiotech.ca/elisa_kits/product/4620/Rat_Procollagen_I_PCI_ELISA_Kit/
RDR-PCI-Ra	Rat Procollagen I (PCI) ELISA Kit	PCOL-I,PC-I,PC1,Type I Procollagen  	Rattus norvegicus Rat  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	0.781-50ng/mL  	0.36ng/mL  	sandwich  	96T  	664.97	48T  	465.47	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/7453/Rat_Procollagen_I_PCI_ELISA_Kit/
RD-Salusinb-Ra	Rat Salusin Beta ELISA Kit	SALb  	Rattus norvegicus Rat  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	31.25-2000pg/mL  	8.59pg/mL  	competitive inhibition  	96T  	696.7	48T  	487.7	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/5246/Rat_Salusin_Beta_ELISA_Kit/
RDR-Salusinb-Ra	Rat Salusin Beta ELISA Kit	SALb  	Rattus norvegicus Rat  	serum, plasma, tissue homogenates, cell lysates, cell culture supernatants and other biological fluids.  	31.25-2000pg/mL  	8.59pg/mL  	competitive inhibition  	96T  	731.5	48T  	512	12 months  			https://www.reddotbiotech.ca/elisa_kits/product/13440/Rat_Salusin_Beta_ELISA_Kit/